Point ID,arc_length,C,epsilon,k,nut,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,0,0.0894128,0.138025,0.00691026,0.671487,-103,100,0,143.558,-1.13992e-22,1.11961e-22,-1.43867e-25,1.59779e-22,1
1,0.69675,0,0.045822,0.150267,0.0596574,0.671453,-103,100,0.69675,143.56,1.22243,-1.2011,0.00206582,1.71376,1
2,1.22177,0,0.0229019,0.151545,0.10046,0.671249,-103,100,1.22177,143.564,1.45138,-1.42721,0.00349365,2.03555,1
3,1.74705,0,0.014006,0.149049,0.156077,0.670541,-103,100,1.74705,143.569,1.61544,-1.59025,0.00522996,2.26684,1
4,2.04057,0,0.0105674,0.148416,0.194518,0.669963,-103,100,2.04057,143.573,1.70313,-1.67762,0.00633288,2.39063,1
5,2.42184,0,0.00960995,0.148247,0.211677,0.669637,-103,100,2.42184,143.579,1.73407,-1.70854,0.00678919,2.43436,1
6,2.84726,0,0.00886266,0.148063,0.226414,0.669271,-103,100,2.84726,143.587,1.7594,-1.73384,0.00717545,2.47017,1
7,2.99162,0,0.00868721,0.147979,0.230898,0.669124,-103,100,2.99162,143.59,1.76623,-1.74067,0.00728163,2.47983,1
8,3.58589,1.88341e-38,0.00709887,0.146864,0.29119,0.666881,-103,100,3.58589,143.603,1.84211,-1.81662,0.00865936,2.58719,1
9,4.63495,9.97584e-38,0.004954,0.145365,0.395289,0.662527,-103,100,4.63495,143.633,1.95666,-1.93133,0.0108001,2.74931,1
10,5.6822,3.78304e-37,0.00394206,0.144685,0.487161,0.657824,-103,100,5.6822,143.671,2.03156,-2.00634,0.0122603,2.85531,1
11,6.72776,1.29203e-36,0.00327569,0.144271,0.579559,0.652473,-103,100,6.72776,143.716,2.09332,-2.06818,0.0134143,2.94271,1
12,7.77205,4.06461e-36,0.00280435,0.143991,0.671947,0.646636,-103,100,7.77205,143.769,2.14599,-2.12086,0.0142879,3.01721,1
13,8.81558,1.19053e-35,0.0024533,0.143774,0.764009,0.640458,-103,100,8.81558,143.829,2.19199,-2.16684,0.0149072,3.08224,1
14,9.85874,3.27366e-35,0.00218144,0.143581,0.855555,0.634069,-103,100,9.85874,143.896,2.23287,-2.20768,0.0152974,3.14003,1
15,10.9018,8.50569e-35,0.00196446,0.143391,0.946468,0.627582,-103,100,10.9018,143.972,2.26969,-2.24446,0.0154844,3.19207,1
16,11.9447,2.09904e-34,0.00178707,0.143193,1.03667,0.621091,-103,100,11.9447,144.054,2.3032,-2.27792,0.0154932,3.23942,1
17,12.9877,4.94095e-34,0.00163918,0.142978,1.12609,0.614672,-103,100,12.9877,144.145,2.33393,-2.30861,0.0153484,3.28285,1
18,14.0306,1.11335e-33,0.00151389,0.142745,1.21471,0.608386,-103,100,14.0306,144.242,2.3623,-2.33695,0.0150734,3.32295,1
19,15.0735,2.40887e-33,0.0014063,0.14249,1.30247,0.602277,-103,100,15.0735,144.348,2.38862,-2.36325,0.0146899,3.36016,1
20,16.1163,5.01792e-33,0.00131284,0.142214,1.38936,0.596378,-103,100,16.1163,144.46,2.41315,-2.38777,0.0142177,3.39484,1
21,17.159,1.00878e-32,0.00123083,0.141915,1.47533,0.590711,-103,100,17.159,144.58,2.43608,-2.41071,0.0136749,3.42727,1
22,18.2015,1.96144e-32,0.00115825,0.141594,1.56036,0.58529,-103,100,18.2015,144.708,2.45759,-2.43223,0.0130777,3.4577,1
23,19.2439,3.69602e-32,0.00109352,0.14125,1.64442,0.580118,-103,100,19.2439,144.842,2.47782,-2.45247,0.0124406,3.48631,1
24,20.2861,8.0808e-32,0.00102397,0.140799,1.74644,0.57416,-103,100,20.2861,144.985,2.5008,-2.47548,0.0116247,3.51883,1
25,21.4641,1.58849e-31,0.000964321,0.140361,1.84099,0.568803,-103,100,21.4641,145.154,2.52119,-2.49591,0.010839,3.54769,1
26,22.4073,2.16398e-31,0.000946109,0.140206,1.87213,0.567103,-103,100,22.4073,145.297,2.52764,-2.50238,0.01058,3.55682,1
27,22.8235,2.56113e-31,0.00093921,0.140143,1.88427,0.566436,-103,100,22.8235,145.361,2.53012,-2.50487,0.0104831,3.56034,1
28,23.9346,5.80174e-31,0.000885285,0.139548,1.98879,0.561168,-103,100,23.9346,145.54,2.5504,-2.52522,0.00957025,3.58907,1
29,26.0191,1.48513e-30,0.000798371,0.13847,2.16803,0.552518,-103,100,26.0191,145.897,2.58386,-2.55883,0.00800704,3.63648,1
30,28.1035,4.02405e-30,0.000724508,0.137246,2.35047,0.54484,-103,100,28.1035,146.283,2.6141,-2.58924,0.00648949,3.67937,1
31,29.3902,6.58837e-30,0.000676933,0.136361,2.4778,0.539815,-103,100,29.3902,146.536,2.63405,-2.6093,0.00545376,3.70765,1
32,30.9257,1.26661e-29,0.000656188,0.135922,2.53829,0.537491,-103,100,30.9257,146.852,2.64295,-2.61829,0.00495898,3.7203,1
33,32.7666,3.4447e-29,0.00064133,0.135581,2.58382,0.535732,-103,100,32.7666,147.25,2.64943,-2.62484,0.00462383,3.72952,1
34,35.4018,1.04634e-28,0.000592025,0.134146,2.75387,0.530111,-103,100,35.4018,147.859,2.67143,-2.64695,0.00350117,3.7607,1
35,39.5724,2.0264e-28,0.000522316,0.131949,3.00886,0.522465,-103,100,39.5724,148.913,2.70268,-2.67841,0.00188674,3.80504,1
36,43.7433,2.8396e-28,0.000485249,0.130553,3.16496,0.518456,-103,100,43.7433,150.075,2.71957,-2.69545,0.000952737,3.82904,1
37,50,3.42562e-28,0.000462501,0.129612,3.26904,0.516001,-103,100,50,152.016,2.73005,-2.70602,0.000265573,3.84392,1
